id	filename	md5	size	state
70fd4072-7a4e-4613-b528-2f31753a72c9	70fd4072-7a4e-4613-b528-2f31753a72c9/98e49cc4-1040-4291-b975-da3e8fc3ddfc.rna_seq.augmented_star_gene_counts.tsv	1db5fc4e93e98f2aa1afbe4c77613838	4258425	validated
6d49ec40-9d38-4e6e-a23e-9820dbaf0740	6d49ec40-9d38-4e6e-a23e-9820dbaf0740/94b2af92-0cfc-40b2-977d-6bd0fa4440d9.rna_seq.augmented_star_gene_counts.tsv	3fc81b901fffc04f85418a1d162383d5	4232012	validated
cd2830dc-6445-47c5-bdb2-fe52a36450c4	cd2830dc-6445-47c5-bdb2-fe52a36450c4/15d39440-6bb8-4ecb-add1-9ae8b007dc70.rna_seq.augmented_star_gene_counts.tsv	08e0e5045c68dd1f2b08b55dc00edc73	4232113	validated
06b204a2-957c-4378-bfce-d402b242aeb8	06b204a2-957c-4378-bfce-d402b242aeb8/bd09bf00-3fb3-41fc-ae4d-4ac68a925a6b.rna_seq.augmented_star_gene_counts.tsv	1ec811d80e4a58503715ae54a7449178	4241053	validated
6d7cf168-33c8-463d-83a1-9ba835e77086	6d7cf168-33c8-463d-83a1-9ba835e77086/62b39052-bdb9-4ba6-9eb0-f117480c98a8.rna_seq.augmented_star_gene_counts.tsv	f1ca3bf359a7efaa8e545436ba857799	4228902	validated
3fd71552-68f9-483a-96b7-b30a8f782052	3fd71552-68f9-483a-96b7-b30a8f782052/3e17c945-a810-4d82-af11-93debdee3f21.rna_seq.augmented_star_gene_counts.tsv	48871e33cbf0042ff89db262c9486bc3	4236741	validated
249418f5-3327-4754-b3e7-b17e9f510b07	249418f5-3327-4754-b3e7-b17e9f510b07/22289933-9224-46e9-a9c4-f0b6f1947490.rna_seq.augmented_star_gene_counts.tsv	6a4eca94daa71d709b2743d3cdcc7b8d	4247018	validated
3711f2fe-3ac6-4b64-932d-f1ef3f9f1bbe	3711f2fe-3ac6-4b64-932d-f1ef3f9f1bbe/fea785bb-de96-4411-8bf4-a7d254af9ff9.rna_seq.augmented_star_gene_counts.tsv	0e3d125208d161b67ea71c5fae8ec8e6	4230701	validated
94367955-d8ad-4a9e-9a31-e23055a1f474	94367955-d8ad-4a9e-9a31-e23055a1f474/3a2b80a5-6937-423a-92bf-9e25a0b23c5b.rna_seq.augmented_star_gene_counts.tsv	9310801627ff79b3982a999e4e08cb46	4236588	validated
d560a960-803c-4d1a-a404-d094f9faa44a	d560a960-803c-4d1a-a404-d094f9faa44a/f26d1599-6e75-4c0d-8b40-c7e45fe9da76.rna_seq.augmented_star_gene_counts.tsv	b5fa455a69830fb04712131497dd0c50	4214063	validated
0ffda990-2112-4d7e-9d9e-e002b2e0ffd5	0ffda990-2112-4d7e-9d9e-e002b2e0ffd5/39632b4c-bc6d-449f-82c7-56dfe6766791.rna_seq.augmented_star_gene_counts.tsv	7695b37dfd17a48ea4cf1b4ad69b4831	4229218	validated
8f193b3f-fd2c-4d70-9b10-8b3cb7586375	8f193b3f-fd2c-4d70-9b10-8b3cb7586375/fe769a85-08b2-4442-aa8f-2b587e49001d.rna_seq.augmented_star_gene_counts.tsv	6bdd163bbfe21438559d1e968b2195ff	4222500	validated
3c0d074c-da2d-4c18-bb48-daf73f69c79c	3c0d074c-da2d-4c18-bb48-daf73f69c79c/7bc6961f-19df-4a54-a2d0-fb60e318cc10.rna_seq.augmented_star_gene_counts.tsv	de9cc058e2e0bf9a67e5535523510e9f	4235815	validated
2b378d98-f5d2-4f73-81b4-e201177e13a1	2b378d98-f5d2-4f73-81b4-e201177e13a1/6b375859-116e-4a5e-b5b4-994a56cc9a75.rna_seq.augmented_star_gene_counts.tsv	59ebcfaa70c022376b76aa27a47cf6b2	4242944	validated
3a2454a3-042d-45cc-85c5-559bf19c67ca	3a2454a3-042d-45cc-85c5-559bf19c67ca/16edbdd6-190c-4051-a957-4c048aa7ed2e.rna_seq.augmented_star_gene_counts.tsv	64b3bec78010309b67d6c27054f32af8	4238439	validated
62e41639-9f17-4e20-94db-5c31394478c1	62e41639-9f17-4e20-94db-5c31394478c1/eaecaea1-2cb7-472c-b549-ff779e5e1d30.rna_seq.augmented_star_gene_counts.tsv	f41e7ca4ba68f3fca7e4d688999e11e9	4241072	validated
3307cc3b-99b9-4a48-82ed-a57f3ac67229	3307cc3b-99b9-4a48-82ed-a57f3ac67229/2617d866-0750-4a93-a533-5e15b536bfa9.rna_seq.augmented_star_gene_counts.tsv	12d78f8d3ccfb3b0e9d84f2837ad3ad5	4242273	validated
26f47a26-8f8c-401c-9215-3c744d8be063	26f47a26-8f8c-401c-9215-3c744d8be063/e97f9781-5033-40bd-bc5c-7a703ef965b1.rna_seq.augmented_star_gene_counts.tsv	87361c75e6c12a404d36cf44e348c7d9	4219108	validated
374da7c9-c38e-40e7-98a3-99c0b632d89d	374da7c9-c38e-40e7-98a3-99c0b632d89d/40b92a76-f324-4cdd-8209-517d021acd47.rna_seq.augmented_star_gene_counts.tsv	c46079295aa44334294241030e6a428b	4202908	validated
e57a50e9-60d5-4dd8-a379-2b473995356d	e57a50e9-60d5-4dd8-a379-2b473995356d/7688db2f-f816-443c-98d8-f8077ba0e74f.rna_seq.augmented_star_gene_counts.tsv	ab55be37e6c5bc3e91c0c00f47d6129c	4241840	validated
918d78c9-e35a-4eaf-ae1a-29d7696a9df3	918d78c9-e35a-4eaf-ae1a-29d7696a9df3/956f6e0c-42d0-4892-848e-fd165e9ac12b.rna_seq.augmented_star_gene_counts.tsv	00294bda0ac1595c70c6fec289b73d79	4242017	validated
a52ad41c-475e-41fb-a6f6-c3bc0caaed03	a52ad41c-475e-41fb-a6f6-c3bc0caaed03/247323b2-dc45-427e-bc41-c33f2fbbe77b.rna_seq.augmented_star_gene_counts.tsv	83916057f2054d7dc51b9260cb928a5f	4230234	validated
47d99511-66e7-4462-ba0e-b399efdc7dba	47d99511-66e7-4462-ba0e-b399efdc7dba/f7ddd671-b2ba-4952-918b-07ae0ea84263.rna_seq.augmented_star_gene_counts.tsv	9383026882fc8576d0ee08ab136e566e	4234113	validated
08858805-ac7c-4ab9-9df3-a1f99f85a279	08858805-ac7c-4ab9-9df3-a1f99f85a279/eb84c7b1-da0d-48cb-ba8b-0c1f2b3df4cd.rna_seq.augmented_star_gene_counts.tsv	b5c0c2063d6237797af2b135c159d718	4247272	validated
9c5e5030-f082-4dc4-bd07-6b2f33134530	9c5e5030-f082-4dc4-bd07-6b2f33134530/84ca3236-683a-40f6-b8a6-600ffd43a0da.rna_seq.augmented_star_gene_counts.tsv	827519d34b4b6ac8272b4ce8a483135a	4231241	validated
