"","B cell","Macrophage M1","Macrophage M2","Monocyte","Neutrophil","NK cell","T cell CD4+ (non-regulatory)","T cell CD8+","T cell regulatory (Tregs)","Myeloid dendritic cell","uncharacterized cell"
"TCGA-FS-A1ZF-06A-12R-A18S-07",0.0218114214378035,0,0,0.344063550398432,0,0.0516095345992278,0,0,0.00497797676892835,0,0.577537516795608
"TCGA-D3-A3C8-06A-12R-A18S-07",0.00312767230065024,0.104625888524622,0.0256253635058288,0.189001332081815,0,0,0,0.645206899355697,0.0324128442313863,0,0
"TCGA-D3-A3MU-06A-11R-A21D-07",0.0249677619579303,0.0371014237342307,0.00719872563453794,0.234454170594585,0,0.0342138002430433,0.0605061809928359,0.00611064123008818,0.016755576381849,0,0.5786917192309
"TCGA-EE-A2MR-06A-11R-A18S-07",0.124303011170109,0.0208666941160132,0.0351970868510813,0.311359056867527,0,0.064049860647179,0.286890865732478,0.100818164874324,0.056515259741288,0,2.22044604925031e-16
"TCGA-ER-A2ND-06A-11R-A18T-07",0.00448428825911486,0,0,0.140965677097557,0.176438440177333,0.022905014471423,0,0.00155203216986007,0.0038118516193816,0,0.64984269620533
"TCGA-ER-A2NG-06A-11R-A18T-07",0.00360288223240493,0.110065366278626,0.021268796569641,0,0.34263832324347,0.00928461649103958,0,0.0997713733254083,0.0426678419417599,0.0229147740037477,0.347786025913903
"TCGA-ER-A3ES-06A-11R-A20F-07",0.0414056605583126,0,0.122033305391595,0,0,0.0075735777795736,0.000594322604680599,0,0,0.0350597696259994,0.793333364039839
"TCGA-EE-A180-06A-11R-A21D-07",0.00783545003182661,0,0,0.505088771669569,0,0.0721878724014559,0,0,0.0151415270433817,0,0.399746378853767
"TCGA-FS-A1ZY-06A-11R-A18S-07",0.0270286765274688,0,0,0.431780521574586,0,0.0709384808168799,0.0224116565128242,0,0.0250164337798089,0,0.422824230788432
"TCGA-EE-A2GO-06A-11R-A18S-07",0.0223809186413195,0,0,0.23682503407384,0,0.0836030927953057,0,0,0.213027131000142,0,0.444163823489393
