"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"TCGA-YD-A89C-06A-11R-A37K-07",0.0551633812834847,0,0.0232543602503236,0.0316883925717238,0,0.180710112225228,0.0314052602778468,0,0.0517097968502718,0,0.120324939898293,0,0.134698834240487,0.0490279183264672,0,0.25723957540004,0,0,0,0.0280629325501514,0.0367144961256818,0,0.99,-0.0689392774541618,1.1054355825429
"TCGA-FS-A1Z4-06A-11R-A18T-07",0.219928974647302,0,0.108574376343433,0.0372470419169707,0,0.219774485753082,0.023975835048289,0.044216262961622,0.0345208999961771,0,0.101997733920187,0,0.0082985189339353,0.0615849770087512,0.0656002780696346,0.0742806154006162,0,0,0,0,0,0,0,0.457672320864328,0.88866508027594
"TCGA-EE-A29B-06A-11R-A18U-07",0.00154324409369726,0,0,0.0395126346466398,0,0.190663771780107,0,0.00572453067597779,0.0628407628284461,0,0.0913055765484673,0.0305232962684914,0,0,0,0.422073852676428,0.0389405180019752,0.00176075163786329,0.115111060841907,0,0,0,0.61,0.00309932334698657,1.09100690323135
"TCGA-EE-A2GL-06A-11R-A18S-07",0.179283307678779,0.208231696783625,0,0.146846058601071,0,0.185097727688758,0.0575348939986979,0.00848066162537521,0.0102069116697562,0,0.0412031993537639,0,0.0453235356580383,0.0393414956485369,0.0272350114847686,0.0455696739982514,0.00564582581057881,0,0,0,0,0,0,0.547417863483207,0.836164444571094
"TCGA-WE-A8K1-06A-21R-A37K-07",0.011561277807825,0.00208330462993111,0.00084997997869375,0.293186078570774,0,0.0692265467611902,0.0327153481047797,0.0571186858634385,0.135504802211679,0,0.0529960020915954,0,0.061434127854952,0.158777754919844,0.0685286879332117,0.0279634774548892,0.0137101202840174,0,0.0143438055331789,0,0,0,0.14,0.107727454610183,1.06919901280248
"TCGA-EE-A2MH-06A-11R-A18S-07",0.119814002564321,0.117917939969578,0.0662432676287151,0.15991191516278,0.0249705104451781,0,0.044557937384727,0,0.140421789874143,0,0.123872009456459,0,0.0486276137862726,0.0258011154320975,0.0346710052347134,0.0454855927057615,0.0477053003552528,0,0,0,0,0,0.01,0.313416126386831,0.963116656668578
"TCGA-D3-A5GL-06A-11R-A27Q-07",0,0,0,0,0,0.283690776089712,0,0.0236567931493183,0.0176961463139755,0,0.161203638778541,0,0,0.319192486772849,0,0.041407503563115,0,0,0,0,0.15315265533249,0,0.67,-0.00491825167262246,1.1187329065146
"TCGA-EE-A3AA-06A-11R-A18S-07",0.199773591949675,0,0.0181330656740714,0.0480453613613336,0,0.270977456269021,0,0.0496664063569002,0.0250269337810139,0,0.0872642174184118,0,0.00123609935250218,0.131132211909282,0.0961578794797408,0.0663868595629654,0.00127329879648357,0,0,0.00492661808860038,0,0,0,0.348571373993789,0.944452975157167
"TCGA-EE-A2M5-06A-12R-A18S-07",0.000863689586887159,0,0.00506095254726849,0.158996925982602,0,0,0.0665768790971482,0.0185542668279941,0.0383976252416071,0,0.160756260794309,0,0,0.22912969712308,0.0167580108962223,0.14433211102631,0,0,0,0.10316368920143,0,0.0574098916751413,0.08,0.159160898655387,1.03863522729161
"TCGA-EE-A3JE-06A-11R-A20F-07",0.0333135572027346,0,0.119808814361003,0.233819846842552,0,0.0947845509261702,0.0342613685445594,0.059124413146665,0.0598868219177265,0,0.0617152112159511,0,0.0132841972192122,0.117219650404921,0.0468906156244035,0.12543734204961,0,0,0,0.000453610544491688,0,0,0.02,0.257951471093274,0.986139780760551
